#{"t_start": 1744127852.3447914, "env_id": "None"}
r,l,t
10.499976,200,4.353091
35.000175,200,4.700676
46.500057,200,5.113245
17.999973,200,5.450124
12.49996,200,5.791654
25.999968,200,6.205008
42.500183,200,6.616811
10.999992,200,7.073851
-1.4999981,200,7.460095
27.499989,200,7.859164
11.499962,200,8.250242
52.500034,200,8.707923
38.500088,200,9.118379
11.9999695,200,9.518833
14.499983,200,9.897639
-1.9999981,200,10.264688
10.99996,200,10.597641
16.999979,200,10.93791
13.999958,200,11.289153
69.00011,200,11.631354
9.999998,200,20.855696
26.99998,200,21.352686
50.000114,200,21.943228
25.999956,200,22.571822
27.499958,200,23.175114
28.999971,200,23.778753
11.499995,200,24.252334
29.499964,200,24.668898
11.999994,200,25.159967
65.50001,200,25.73962
16.499998,200,26.346525
11.5,200,26.92838
-2.4999983,200,27.59216
44.50013,200,28.234218
25.49998,200,28.871546
12.999963,200,29.544188
35.500023,200,30.269308
27.499964,200,30.889817
45.50007,200,31.697376
14.499958,200,32.43448
44.499958,200,43.637344
12.999972,200,44.288325
28.49997,200,45.001828
32.500004,200,45.637637
51.00006,200,46.313227
-1.4999981,200,46.907879
42.500072,200,47.534407
14.999973,200,48.129476
13.499955,200,48.702232
26.99996,200,49.31692
13.999958,200,49.906859
36.50001,200,50.495007
43.0,200,51.11196
-2.499998,200,51.743944
1.5000019,200,52.332743
45.50009,200,52.942614
44.999996,200,53.516471
29.499958,200,54.089345
51.000187,200,54.673153
28.999964,200,55.270314
44.500217,200,55.819671
26.999956,200,65.79566
42.49999,200,66.371412
12.499974,200,66.912068
26.99996,200,67.502662
37.000134,200,68.106599
26.999979,200,68.646159
44.499977,200,69.231968
35.00023,200,69.879722
27.499979,200,70.522739
44.000027,200,71.198423
30.499956,200,71.926346
45.00008,200,72.540827
161.49011,151,73.030741
51.50016,200,73.776365
52.50019,200,74.449667
28.499962,200,75.044278
45.500114,200,75.659785
43.00017,200,76.363979
27.999983,200,77.148251
11.999982,200,77.824069
49.50004,200,78.651988
12.499968,200,93.545718
26.99996,200,94.318878
25.999983,200,94.951482
15.499956,200,95.64669
26.499983,200,96.303419
11.99998,200,96.938892
35.500187,200,97.557775
44.500107,200,98.225365
43.000095,200,98.820523
9.499993,200,99.477181
28.999964,200,100.130563
28.499964,200,100.702218
10.999957,200,101.745474
49.00009,200,102.508333
67.50018,200,103.055449
44.50004,200,103.728977
46.500195,200,104.463639
-2.499998,200,105.07141
15.499985,200,105.712572
1.0000017,200,106.360418
27.99997,200,119.000226
37.500057,200,119.661092
26.999956,200,120.43333
11.499975,200,121.122902
27.999973,200,121.813855
45.000034,200,122.465512
50.500195,200,123.174494
17.499956,200,123.840671
27.99996,200,124.508175
12.499972,200,125.183415
-0.49999833,200,125.888268
11.000001,200,126.665633
69.00009,200,127.373212
9.999996,200,128.123833
44.499966,200,128.817774
